year,block,species,init,expos,date,age_start,age_end,survive,dist
3,8,1,44,9,74,22,31,0,0.393
3,9,3,51,4,76,22,26,1,0.999
3,6,5,44,8,78,27,35,1,1.24
1,11,3,49,7,79,24,31,1,1.427
3,12,3,57,6,76,14,20,1,2.643
3,10,4,61,8,88,20,28,1,2.374
2,5,3,52,5,85,29,34,1,1.852
2,10,3,63,6,99,31,37,0,0.031
2,3,6,60,10,99,30,40,1,0.167
1,7,2,31,7,54,17,24,0,0.038
3,7,4,25,7,47,16,23,0,0.834
1,8,4,45,9,78,25,34,1,2.302
1,10,3,63,8,79,9,17,1,2.499
2,6,3,39,6,61,17,23,1,1.947
2,6,4,27,7,61,28,35,1,0.553
3,5,1,41,12,80,28,40,1,1.657
2,6,4,55,5,61,2,7,0,2.003
3,6,3,58,9,78,12,21,0,3.394
3,7,4,53,8,74,14,22,1,0.405
3,6,3,43,11,75,22,33,0,4.198
3,10,3,44,7,73,23,30,1,1.841
2,10,2,25,7,49,18,25,1,1.479
3,2,1,40,10,76,27,37,1,2.999
1,2,1,42,8,77,28,36,1,2.888
3,12,3,58,6,83,20,26,1,2.792
3,5,4,54,7,84,24,31,0,4.066
3,5,1,56,9,77,13,22,1,1.22
1,10,7,72,3,85,11,14,1,1.282
1,10,3,51,4,81,27,31,1,1.847
1,8,3,53,9,78,17,26,1,0.158
3,6,1,35,6,64,24,30,1,3.518
3,10,3,63,5,101,34,39,1,0.675
2,1,3,47,8,67,13,21,1,2.103
1,3,2,32,8,54,15,23,1,0.795
2,10,5,24,8,41,10,18,0,1.076
2,3,7,46,8,72,19,27,1,0.138
2,9,1,29,8,43,7,15,1,0.413
2,8,2,25,4,62,34,38,0,1.837
1,9,3,62,9,95,25,34,1,0.189
3,6,2,53,5,65,8,13,1,4.3
1,7,3,65,6,89,19,25,1,0.384
3,9,3,51,6,89,33,39,1,0.999
2,6,4,20,10,54,25,35,1,2.395
1,9,3,47,8,83,29,37,1,0.991
2,5,2,52,5,85,29,34,1,1.367
3,5,1,48,7,84,30,37,1,4.287
1,6,1,45,14,73,15,29,1,2.907
1,6,4,60,7,80,14,21,0,2.298
1,2,3,52,8,69,10,18,0,1.891
1,6,5,48,8,70,15,23,0,1.971
3,9,4,47,5,73,22,27,1,1.177
2,12,3,63,5,92,25,30,0,1.86
1,6,3,47,9,86,31,40,1,1.267
1,12,1,44,7,51,1,8,1,2.744
2,7,3,29,3,60,29,32,1,2.944
3,12,1,34,11,53,9,20,0,0.545
2,9,3,61,9,83,14,23,1,1.177
3,8,4,48,12,77,18,30,0,0.97
3,3,2,37,7,70,27,34,1,1.824
2,9,1,51,8,86,28,36,1,3.85
1,12,3,59,7,89,24,31,1,0.178
2,10,4,50,7,69,13,20,1,0.067
2,9,1,37,7,61,18,25,1,1.984
2,10,3,50,8,66,9,17,1,1.148
2,1,4,26,9,50,16,25,1,0.031
1,4,3,52,7,73,15,22,0,2.894
2,8,1,41,7,50,3,10,1,1.419
2,6,3,46,4,72,23,27,1,1.852
3,6,2,33,7,47,8,15,1,3.527
1,9,3,72,6,107,30,36,1,1.199
1,12,1,44,8,80,29,37,1,1.408
3,12,4,27,8,66,32,40,1,1.994
1,8,1,49,9,81,24,33,1,0.27
2,6,4,59,7,82,17,24,1,1.804
1,3,1,45,8,68,16,24,1,1.958
3,3,4,31,7,47,10,17,1,1.977
1,3,4,53,8,73,13,21,1,3.179
3,1,3,55,7,88,27,34,1,1.689
1,9,2,43,8,67,17,25,1,3.497
1,12,3,67,7,87,14,21,0,0.148
2,10,6,34,7,50,10,17,1,0.262
2,7,1,53,8,76,16,24,1,1.812
3,2,3,49,7,88,33,40,1,1.869
2,5,1,23,12,54,20,32,0,1.791
2,3,2,32,8,43,4,12,1,2.997
2,9,1,33,8,43,3,11,0,0.384
1,4,5,38,8,48,3,11,0,1.856
2,6,1,28,8,67,32,40,1,2.392
3,9,5,50,7,83,27,34,1,1
3,3,4,37,6,69,27,33,1,1.541
1,7,2,35,6,64,24,30,1,0.224
3,3,4,29,8,43,7,15,1,4.373
1,7,4,43,8,72,22,30,1,0.48
2,1,1,60,6,72,7,13,1,2.826
2,12,3,64,7,90,20,27,1,0.118
2,9,3,52,9,83,23,32,1,1.151
3,12,1,40,4,53,10,14,1,1.095
3,3,1,32,7,40,2,9,1,3.687
3,2,1,48,8,68,13,21,1,1.757
2,10,3,44,5,79,31,36,1,1.881
2,6,1,33,10,54,12,22,1,2.372
3,9,4,51,5,69,14,19,1,1.264
3,6,4,62,6,87,20,26,0,0.947
2,3,2,29,8,61,25,33,1,1.806
2,7,1,45,8,63,11,19,1,1.645
3,6,3,37,10,65,19,29,0,3.775
3,5,1,44,11,80,26,37,1,1.559
1,6,3,44,7,77,27,34,1,2.024
3,9,1,54,3,63,7,10,1,1.014
1,3,4,20,8,58,31,39,0,2.162
3,8,1,25,5,56,27,32,1,3.167
2,12,1,30,8,50,13,21,0,0.623
2,3,4,13,4,39,23,27,1,0.257
1,10,1,40,7,73,27,34,1,1.467
2,1,4,61,6,93,27,33,1,0.848
2,12,3,53,6,83,25,31,1,1.753
1,9,5,64,7,76,6,13,0,1.058
3,3,5,13,7,47,28,35,0,2.997
3,8,3,63,5,87,20,25,1,1.327
1,7,4,13,8,51,31,39,1,0.272
1,10,5,29,8,56,20,28,1,1.113
3,9,4,56,4,76,17,21,1,1.427
1,4,7,52,6,76,19,25,1,1.836
2,1,3,52,8,73,14,22,1,0.518
3,5,4,33,9,51,10,19,1,2.102
3,2,3,61,8,96,28,36,1,1.537
2,10,3,64,8,92,21,29,1,0.281
1,11,3,39,4,65,23,27,1,1.299
2,5,1,35,9,65,22,31,1,2.831
3,12,1,44,6,81,32,38,0,2.974
1,9,1,59,9,94,27,36,1,1.419
3,2,3,47,6,81,29,35,1,0.605
1,10,3,53,8,81,21,29,1,1.867
3,9,3,69,7,81,6,13,1,0.117
1,12,2,47,8,70,16,24,1,1.42
2,8,4,75,5,93,14,19,1,0.281
1,12,1,32,7,58,20,27,1,3.248
3,3,3,44,9,63,11,20,1,3.462
2,2,1,47,8,84,30,38,1,0.37
1,11,3,71,6,95,19,25,1,1.464
3,3,4,19,7,47,22,29,1,3.369
1,12,1,41,8,54,6,14,1,0.279
1,9,3,57,7,96,33,40,1,3.321
3,12,3,60,7,70,4,11,1,1.46
1,12,3,40,9,67,19,28,1,1.085
3,5,1,72,5,89,13,18,1,4.051
1,2,3,51,8,75,17,25,0,1.131
3,8,1,37,10,65,19,29,1,1.024
1,4,2,52,7,73,15,22,0,2.563
1,9,1,35,5,59,20,25,1,3.288
3,9,4,51,11,89,28,39,1,1.021
1,10,4,62,3,82,18,21,1,0.578
1,7,2,32,3,60,26,29,1,0.058
2,10,3,46,8,84,31,39,1,0.198
3,6,3,66,7,81,9,16,0,0.378
1,2,1,46,8,75,22,30,1,1.839
3,8,1,50,5,80,26,31,1,3.1
1,2,4,45,9,55,2,11,0,0.273
1,7,1,41,8,60,12,20,1,1.959
3,12,2,25,4,51,23,27,1,2.646
3,8,4,65,7,77,6,13,0,0.19
1,9,4,36,7,57,15,22,1,3.551
3,8,1,75,5,82,3,8,1,1.125
1,2,3,50,8,67,10,18,1,0.947
2,6,3,38,6,61,18,24,1,2.151
3,12,3,53,5,88,31,36,1,0.856
3,1,4,20,7,56,30,37,1,1.054
1,12,1,38,8,75,30,38,1,0.267
1,7,4,35,8,58,16,24,1,1.955
1,7,4,56,8,94,31,39,1,1.082
1,2,1,35,6,61,21,27,1,0.593
2,8,3,32,7,50,12,19,1,2.774
1,8,3,47,7,69,16,23,1,2.301
1,9,3,46,7,76,24,31,1,1.46
3,1,5,54,3,70,14,17,1,1.931
2,6,1,56,8,75,12,20,0,2.999
3,9,1,53,3,63,8,11,1,0.846
1,11,3,63,7,85,16,23,1,3.422
3,7,4,54,1,82,28,29,1,1.011
3,12,1,61,6,83,17,23,1,0.052
3,7,4,30,6,58,23,29,0,1.045
1,9,2,35,10,70,26,36,1,3.409
1,8,1,48,8,65,10,18,1,1.971
2,8,1,27,7,50,17,24,0,2.985
2,1,3,52,6,72,15,21,1,2.627
3,8,1,31,5,56,21,26,1,1.006
1,7,3,49,6,86,32,38,1,2.225
3,3,3,48,9,87,31,40,1,1.466
2,12,1,33,7,65,26,33,1,0.509
1,2,2,47,8,75,21,29,1,1.117
2,1,3,52,10,65,4,14,1,0.518
3,2,4,62,10,76,5,15,1,1.469
2,6,4,54,6,82,23,29,1,2.093
1,3,3,67,8,94,20,28,0,0.68
3,1,3,50,9,70,12,21,1,4.102
2,2,3,46,8,74,21,29,1,0.323
3,10,4,65,8,96,24,32,1,1.365
1,9,3,46,8,64,11,19,1,3.639
2,6,4,29,7,46,11,18,1,0.466
2,3,5,11,8,39,21,29,1,0.206
3,9,3,53,5,78,21,26,1,0.023
1,9,1,43,8,71,21,29,1,3.33
2,7,4,15,8,48,26,34,1,1.739
2,8,2,33,7,69,30,37,1,0.632
3,2,4,58,11,75,7,18,1,2.373
1,8,1,46,8,72,19,27,1,0.386
3,12,2,43,4,53,7,11,1,1.079
1,2,3,50,6,89,34,40,1,3.171
3,2,3,53,5,81,24,29,1,1.977
1,12,2,34,8,54,13,21,1,3.61
3,6,1,68,7,101,27,34,1,1.315
2,3,1,44,8,53,2,10,1,0.036
3,9,4,53,5,78,21,26,1,0.854
2,2,1,28,7,60,26,33,1,0.648
1,2,4,54,6,83,24,30,1,1.076
1,3,1,47,8,73,19,27,1,2.066
2,2,5,10,7,39,23,30,1,0.357
3,7,5,55,9,89,26,35,1,1.059
3,2,3,54,5,81,23,28,1,3.274
3,10,4,46,7,76,24,31,1,1.548
2,1,3,54,7,67,7,14,1,0.153
3,12,1,52,7,70,12,19,1,3.042
2,5,3,56,8,74,11,19,0,0.552
3,2,5,57,8,96,32,40,1,1.525
2,6,4,42,6,69,22,28,1,1.718
1,9,3,49,8,72,16,24,1,3.245
2,2,1,38,7,76,32,39,1,2.803
3,12,1,58,6,81,18,24,1,3.064
1,4,1,61,6,76,10,16,1,1.901
3,12,4,56,7,95,33,40,1,2.632
1,10,3,74,8,112,31,39,1,1.905
3,10,4,22,7,51,23,30,1,1.892
1,2,1,44,6,61,12,18,1,0.459
1,11,2,41,8,68,20,28,1,1.432
2,3,3,49,7,81,26,33,1,0.392
2,3,5,8,8,39,24,32,1,0.206
3,9,4,49,4,72,20,24,1,1.147
3,6,3,54,6,64,5,11,0,1.232
3,8,3,71,5,82,7,12,1,1.41
1,7,2,36,8,68,25,33,0,0.043
1,3,7,63,8,102,32,40,1,2.118
3,2,4,49,6,81,27,33,1,2.071
1,3,5,8,8,43,28,36,1,2.061
3,7,1,34,8,61,20,28,1,0.594
1,9,4,53,8,72,12,20,1,3.446
1,12,1,35,3,64,27,30,1,3.326
1,3,4,60,8,71,4,12,0,1.618
3,12,3,50,8,66,9,17,1,0.335
3,12,3,44,7,83,33,40,1,0.461
2,5,1,29,8,56,20,28,1,3.108
2,6,1,29,8,54,18,26,1,0.261
3,1,7,58,7,88,24,31,1,3.371
3,12,1,56,10,75,10,20,1,3.144
3,12,2,35,9,53,10,19,1,1.72
3,12,3,60,5,88,24,29,1,2.181
1,3,7,50,8,76,19,27,1,2.894
1,9,1,41,8,67,19,27,1,3.763
1,9,1,51,10,70,10,20,1,0.017
3,9,3,61,7,96,29,36,1,0.723
2,10,7,69,8,93,17,25,1,0.268
3,6,1,47,5,70,19,24,1,1.236
3,3,4,23,6,53,25,31,1,3.292
2,10,3,46,8,80,27,35,1,0.096
1,3,2,38,7,61,17,24,1,0.791
3,10,3,55,8,77,15,23,1,0.297
2,12,1,36,7,57,15,22,1,0.244
2,8,3,52,8,90,31,39,1,1.082
2,8,1,32,4,62,27,31,1,1.509
1,12,1,55,9,75,12,21,1,1.837
3,10,4,57,8,96,32,40,1,0.347
1,12,3,54,7,82,22,29,1,1.335
3,9,1,39,10,74,26,36,1,1.172
1,7,1,48,7,69,15,22,1,0.962
2,6,3,46,6,61,10,16,1,1.712
3,6,3,45,10,65,11,21,1,1.117
1,3,1,47,6,81,29,35,1,3.049
2,12,4,24,8,56,25,33,1,1.704
2,2,4,19,8,53,27,35,1,1.859
3,12,1,43,8,78,28,36,1,2.214
2,12,1,53,12,75,11,23,0,0.765
2,5,3,60,5,85,21,26,1,2.958
1,8,3,64,8,94,23,31,1,3.462
2,12,3,60,8,83,16,24,1,0.439
1,10,7,54,8,79,18,26,1,2.833
2,1,1,35,6,73,33,39,1,1.185
3,1,4,52,11,81,19,30,1,0.22
3,9,3,57,6,83,21,27,1,0.515
2,8,2,36,7,67,25,32,1,1.784
2,3,7,54,10,89,26,36,1,1.893
1,10,3,52,3,85,31,34,1,3.256
2,8,1,37,7,49,6,13,1,2.821
2,7,3,59,9,94,27,36,1,1.822
2,10,4,56,8,74,11,19,1,0.313
2,12,3,50,9,65,7,16,1,0.94
1,12,4,57,9,70,5,14,0,2.848
3,2,2,28,6,52,19,25,1,4.041
1,3,3,47,9,70,15,24,1,1.801
2,6,2,30,8,46,9,17,1,1.674
1,8,2,48,8,72,17,25,1,0.356
3,6,1,53,11,75,12,23,0,4.006
3,2,7,56,6,81,20,26,1,2.676
3,2,4,28,10,46,9,19,1,4.364
1,12,3,45,9,67,14,23,1,0.873
1,12,1,46,7,61,9,16,1,3.01
1,7,5,69,5,100,27,32,1,1.784
3,12,2,44,10,63,10,20,1,2.857
1,3,5,55,6,77,17,23,1,3.196
2,3,1,21,8,54,26,34,1,0.434
3,8,5,48,4,74,23,27,1,0.922
3,10,3,54,6,88,29,35,1,2.006
3,10,4,42,7,58,10,17,1,0.791
3,5,4,45,7,84,33,40,1,4.327
2,5,1,31,12,54,12,24,1,2.648
3,7,4,42,7,68,20,27,1,1.044
1,4,2,45,9,66,13,22,1,3.192
3,7,3,62,6,95,28,34,1,2.703
1,7,4,36,7,58,16,23,1,0.541
3,6,1,39,10,74,26,36,1,1.202
1,12,1,38,7,61,17,24,0,1.7
2,2,1,42,8,68,19,27,0,0.295
1,3,3,74,2,107,32,34,1,2.159
3,3,7,50,7,87,31,38,1,3.825
1,3,4,49,7,86,31,38,1,1.979
3,12,5,32,7,70,32,39,1,0.309
1,12,1,31,5,61,26,31,1,3.269
1,9,4,75,7,103,22,29,0,0.938
1,9,1,46,8,83,30,38,1,0.689
2,1,3,60,6,78,13,19,1,2.536
3,10,3,57,8,96,32,40,1,1.24
2,12,3,51,9,75,16,25,1,0.195
3,9,3,42,4,59,14,18,1,0.038
3,12,3,62,8,78,9,17,0,2.064
1,10,2,42,8,58,9,17,0,1.246
2,9,1,43,7,69,20,27,1,0.892
3,2,4,16,7,44,22,29,1,1.56
1,3,7,55,8,94,32,40,1,3.067
3,1,1,36,8,49,6,14,1,0.568
3,12,2,48,10,77,20,30,1,1.417
3,3,7,58,7,87,23,30,1,4.381
3,5,4,38,8,60,15,23,1,3.5
3,1,4,37,3,64,25,28,1,0.368
1,4,4,42,4,70,25,29,0,2.028
1,9,2,27,8,62,28,36,1,3.853
3,12,4,65,7,95,24,31,1,0.195
1,12,4,45,5,82,33,38,0,2.791
3,5,1,36,8,60,17,25,0,1.679
1,2,3,51,8,83,25,33,0,1.891
3,8,3,60,7,94,28,35,1,1.149
3,7,4,47,6,81,29,35,1,0.959
3,10,4,41,6,70,24,30,1,2.172
1,3,3,60,6,81,16,22,1,0.009
2,6,1,48,6,61,8,14,1,2.002
2,5,1,32,12,54,11,23,1,3.955
3,12,1,52,7,70,12,19,1,3.137
3,8,1,32,8,51,12,20,1,0.949
1,4,1,45,7,73,22,29,1,2.092
3,5,4,64,9,89,17,26,1,1.657
2,10,4,44,8,62,11,19,1,0.036
3,10,1,33,8,55,15,23,1,2.543
3,7,3,43,8,68,18,26,1,0.355
3,12,4,24,2,58,33,35,1,3.082
2,10,4,11,5,47,32,37,1,1.688
3,1,7,59,5,88,25,30,1,4.272
2,12,4,29,17,50,5,22,1,0.895
3,8,4,61,5,80,15,20,1,1.522
2,7,1,30,8,47,10,18,1,3.214
1,7,4,31,8,47,9,17,1,0.837
3,9,4,56,4,82,23,27,1,0.973
1,4,2,48,9,66,10,19,1,3.16
1,6,1,47,7,80,27,34,1,2.149
2,3,1,45,7,69,18,25,1,0.086
3,2,4,49,11,75,16,27,1,0.748
2,12,1,61,6,98,32,38,1,1.725
3,3,3,45,7,78,27,34,0,2.923
1,3,7,66,8,86,13,21,1,1.116
3,9,4,38,2,71,32,34,1,1.44
3,12,3,50,7,73,17,24,1,1.809
3,5,1,66,7,84,12,19,1,3.727
3,7,4,47,8,74,20,28,1,0.347
3,2,1,58,7,81,17,24,1,4.029
2,5,3,67,6,80,8,14,1,1.752
2,5,1,27,7,42,9,16,1,1.786
3,8,1,51,9,65,6,15,1,3.167
2,12,3,46,7,60,8,15,0,2.236
1,6,4,56,7,77,15,22,0,1.877
3,5,1,33,8,60,20,28,1,4.131
1,6,1,43,8,51,1,9,0,1.837
3,3,1,46,9,80,26,35,1,3.795
1,12,8,70,8,94,17,25,1,0.178
2,12,1,36,5,65,25,30,1,0.362
1,3,7,50,6,86,31,37,1,1.677
1,7,2,40,7,65,19,26,1,0.116
3,12,3,51,6,83,27,33,1,0.9
3,9,3,44,9,68,16,25,1,0.967
2,6,4,54,3,81,25,28,1,1.759
3,1,4,57,7,88,25,32,1,0.633
3,10,4,20,7,51,25,32,1,2.035
1,3,2,52,7,65,7,14,1,2.066
3,5,5,61,7,84,17,24,1,4.284
3,5,1,63,10,89,17,27,1,2.231
3,7,3,46,7,81,29,36,1,0.038
2,10,1,21,8,49,21,29,1,1.125
1,10,4,37,7,73,30,37,1,1.594
3,12,1,54,8,66,5,13,1,2.739
1,10,3,57,5,86,25,30,1,1.037
3,2,1,42,6,66,19,25,1,1.678
3,2,4,48,11,75,17,28,1,1.619
3,12,3,59,7,83,18,25,1,0.494
1,12,1,64,8,80,9,17,1,0.499
3,10,3,57,6,82,20,26,1,0.975
2,8,1,46,7,67,15,22,1,1.82
3,12,2,33,4,53,17,21,1,1.97
3,7,4,52,7,68,10,17,1,0.102
2,3,7,41,5,59,14,19,1,0.424
1,2,4,39,7,51,6,13,0,2.255
2,10,3,50,8,77,20,28,1,1.747
3,9,5,56,7,81,19,26,1,0.831
1,7,2,52,8,73,14,22,1,1.558
1,9,4,47,7,77,24,31,1,2.072
3,6,1,40,4,69,26,30,1,3.538
3,2,4,54,7,88,28,35,1,1.239
1,3,1,45,7,61,10,17,1,3.108
3,5,4,34,9,53,11,20,1,3.892
1,10,1,64,7,73,3,10,1,3.684
3,7,4,25,6,53,23,29,1,0.83
1,3,6,46,9,78,24,33,1,1.825
2,3,5,19,8,49,23,31,1,0.563
3,1,7,57,7,83,20,27,1,2.642
2,6,1,29,7,61,26,33,1,2.22
2,12,3,48,9,75,19,28,0,0.079
3,1,7,76,7,95,13,20,0,2.833
3,12,1,61,10,75,5,15,1,3.085
3,10,3,62,8,96,27,35,1,1.771
2,12,3,41,9,65,16,25,1,0.829
2,7,1,28,5,58,26,31,1,2.679
3,3,7,61,7,94,27,34,0,3.216
1,10,4,54,5,86,28,33,1,1.855
2,12,1,23,9,42,11,20,1,1.035
3,3,3,43,8,78,28,36,1,3.421
1,12,1,45,8,75,23,31,1,0.753
3,5,1,63,7,96,27,34,1,2.231
2,6,1,32,7,46,8,15,1,0.549
2,12,3,48,2,77,28,30,1,0.41
1,12,5,33,9,67,26,35,1,1.942
2,10,4,40,7,69,23,30,1,0.693
2,8,4,70,8,83,6,14,0,3.889
2,2,4,51,8,74,16,24,1,0.316
1,2,3,51,8,75,17,25,1,1.859
3,12,1,65,10,88,14,24,1,2.986
2,8,2,34,6,62,23,29,1,2.944
1,12,1,39,6,67,23,29,1,0.479
1,7,3,44,8,65,14,22,1,1.965
2,12,1,44,2,77,32,34,1,0.721
3,5,4,50,7,84,28,35,1,2.406
1,7,2,31,7,65,28,35,1,0.232
3,7,3,54,7,75,15,22,0,0.827
2,12,4,14,8,50,29,37,1,0.147
3,1,3,55,3,70,13,16,1,1.719
3,3,2,24,9,63,31,40,1,4.373
3,12,2,33,4,67,31,35,1,1.97
3,7,3,45,8,68,16,24,0,2.549
3,7,3,49,8,74,18,26,1,0.15
3,8,3,41,8,74,26,34,0,0.238
3,12,3,39,10,63,15,25,1,1.785
2,5,1,52,7,81,23,30,1,2.909
3,1,4,73,7,88,9,16,0,2.141
1,7,4,46,6,81,30,36,1,1.031
1,9,1,44,8,83,32,40,1,0.723
3,10,3,63,8,96,26,34,0,0.08
3,5,1,80,9,89,1,10,0,3.842
2,6,4,30,1,69,39,40,1,2.298
3,7,4,55,8,68,6,14,0,1.079
1,3,4,52,9,75,15,24,1,0.002
2,9,1,40,9,54,6,15,1,1.798
3,5,4,36,9,51,7,16,1,2.245
1,10,3,67,9,79,4,13,1,0.743
3,8,5,49,7,87,32,39,1,1.41
2,6,4,44,8,75,24,32,0,1.774
2,10,2,26,8,61,28,36,1,1.789
3,12,4,42,3,61,17,20,1,2.004
2,12,1,49,10,75,17,27,0,0.263
1,10,3,78,6,89,6,12,0,1.293
3,10,2,23,7,47,18,25,1,2.89
3,12,2,31,8,47,9,17,1,2.685
3,9,1,37,10,74,28,38,1,1.503
3,1,6,48,6,76,23,29,1,0.056
3,7,1,52,8,66,7,15,1,0.382
1,10,3,48,7,63,9,16,1,3.478
2,6,3,44,7,67,17,24,1,1.253
