Sitio	Tipo_F	Punto_Inicial	Fecha	Visita	Hora_I	Hora_F	Especie	Comportamiento	Sustrato	Distancia	DistanciaBosque	Sexo	Deteccion	Observador	Observaciones
F13	DAI	DAIC	17/8/2022	2	736	745	ELAFOR	Volando					Visual	DM	
F13	DAI	DAIC	17/8/2022	2	736	745	ELAFOR	Volando					Visual	DM	
F13	DAI	DAIC	17/8/2022	2	736	745	ELAFOR	Volando					Visual	DM	
F13	DAI	DAIC	17/8/2022	2	736	745	ELAFOR	Volando					Visual	DM	
F24	DAI	DAIC	17/8/2022	2	854	902	DIVDIV						Song	DM	
F24	DAI	DAIC	17/8/2022	2	854	902	GLABRA						Song	DM	
F24	DAI	DAIC	17/8/2022	2	854	902	LEPVER						Song	DM	
F15	DAI	DAIB	16/8/2022	2	547	555	DIVDIV			15	-30		Song	DM	
F33	DAI	DAIC	16/8/2022	2	718	729	PITSUL			20	45		Song	DM	
F33	DAI	DAIC	16/8/2022	2	718	729	MELAUR						Song	DM	
F1	DAI	DAIC	18/8/2022	2	821	828	Ninguna							DM	
F26	DAI	DAIC	9/6/2022	1	1050	1054	DIVDIV	Volando		30			Visual	DM	
F26	DAI	DAIC	9/6/2022	1	1050	1054	DIVDIV			20	25		Song	DM	
F25	DAI	DAIB	9/6/2022	1	1156	1202	DIVDIV						Song	DM	
F14	DAI	DAIC	3/5/2022	1	625	635	PATFLA			10	40		Visual	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	MELAUR			27			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	DIVDIV			38			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	LEPVER			40			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	XIPFLA			40			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	DIVDIV			25			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	DIVDIV			30			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	TROCOL			45			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	TROAED			35			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	EUPNAN			25			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	MELAUR			28			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	AMAALB			40			Song	CAAF y MAPD	
F14	DAI	DAIC	3/5/2022	1	625	635	PSAMON			15	-25		Visual	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	PHASTR			16			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	LEPVER			48			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	MELAUR						Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	SALGRA			34			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	DIVDIV			37			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	CONVIR			20			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	PATFLA			78			Visual	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	TURGRA			10			Song	CAAF y MAPD	
F9	DAI	DAIB	6/5/2022	1	1004	1014	SALMAX			50			Song	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	PATFLA			40			Song	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	PHEMAC			26			Song	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	ANTPRE			8	30		Visual	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	PSAMON			23	23		Visual	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	DIVDIV			35	13		Visual	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	SALGRA			20			Song	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	BASRUF			20	-20		Visual	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	DIVDIV						Song	CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	PSAMON							CAAF y MAPD	
F54	DAI	DAIB	12/5/2022	1	800	810	PHEMAC			20			Song	CAAF y MAPD	
F6	DAI	DAIB	25/5/2022	1	631	640	Ninguna							DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			20	45		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			20	45		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			20	45		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			20	45		Visual	DM	
