"","Site","SiteName","VEGID","Type","LAT","LONG","ALTITUDE","Aspect","Slope","Description","Understory","Moss","H2O","Edge","habitat","edgedist","edgetype","pforest.","sforest.","natdist.","pasture.","coffee.","note","Area_Basal","Group_cover","Subcanopy","Sitio","HabitatSitio","Fecha","Hora","Cielo","Viento","Rio","AMACYC*","CAEAUR*","CORATR","CYCGUJ","FALSPA","GLABRA","DIVDIV","ICTCHR","MELFOR","PSIMOR","SALATR","ARCCOL","CYAMEL","EMPMIN","MELAUR","PSAMON","AULPRA","BASRUF","CARPUS","DUMCAR","HENLEU","VERCRY","AMARUT","EMPFLT*","SALMAX","SETVIR","TROCAL","VIRPHI","PIOSEN","SETCIT","SETMAG","SETPEN","SETRUT","ELAFOR","LEPSOU","OREPER","PSAWAG","TOLSUL","TURGRA","VERPIN","ICTPLU","VIRFLF*","EUPELE","MNIVAR","QUIMEX","TITSEM","ATTSPA","COLRUB","PITSUL","SETGRA","CANMOD","HYLMUS","LEPVEX*","MYITUB","TROAED","VIRPLU","HENLES*","ONCCIN","AIMRUS*","AMAALB","EUPNAN","PIRRUB","SEIAUR","ACCCHI","CAMZON","CONCOO","CYASTE","MYIPIC","PENNIG","SPINOT","STRZON","TAPNAE","CRYSOU","MOMMOM","PSIHOL","BUTANT","HYLLEU","CROSUL","MYILUT","MYIVIR","BUTALN*","DRYLIN","BUTMAG","MEGPIT","SETPIM*","PIACAY","SITGRI","ZENASI","MYISIM","RAMSUL","VIRSOL","EUPHIR","ICTGAL","BASCUL","AMBHOL","EUPEXI","HYLDEC","MICPHI","MYAUNI","GEOFOR","MYICRI","PHASTR","CHLCAV*","NYCALB","HABRUB","PIRFLA","POLCAE","SARPAP","ELALEU","SETDOM","AMABER","CHAVAU","BUTPLT*","PTETOR","CERTYR","SETCAE","MIOOLE","FALRUF","CHLOCC","SETFUS","TIAOLI","CAMGUA","BUTBRA","CATUST","PATFLA","CHLFLP*","MYIMIN","ANAVAR","THRRUL*","CATAUN*","HABFUS","LAMSYB","BUTPLG*","XIPFLA","ORTVET","EUMSUP"
"11",8,"Finca de Elias (Near)","8P","F","15.17653800","-87.47606537","897.00",349,"M","2013: Young trees and shrubs 2-3m with evidence of previous grazing. Significant understory cover. 
2011:Part of pine oak foreat fragment spanning a few KM on one or both sides of the ridge. Lower elevations along the ridge are used for grazing and are mostly clear of trees. Mix of pine, roble, and encino, roble is most dominant with most encinos being younger trees. Grazed with patches of grass and some forbes, ferns, young trees >1m, trees go as far as 100m in almost all directions but some areas blend in with the field, yielding more sunlight and understory, more grass","G","FALSO","FALSO","VERDADERO","SF",85,"PASTURE",0,88,0,12,0,"south 1/4 hidden by ridge",21.6,13,1,"8","8F","02/18/2016","08:25",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",8,"Finca de Elias (Near)","8P","F","15.17653800","-87.47606537","897.00",349,"M","2013: Young trees and shrubs 2-3m with evidence of previous grazing. Significant understory cover. 
2011:Part of pine oak foreat fragment spanning a few KM on one or both sides of the ridge. Lower elevations along the ridge are used for grazing and are mostly clear of trees. Mix of pine, roble, and encino, roble is most dominant with most encinos being younger trees. Grazed with patches of grass and some forbes, ferns, young trees >1m, trees go as far as 100m in almost all directions but some areas blend in with the field, yielding more sunlight and understory, more grass","G","FALSO","FALSO","VERDADERO","SF",85,"PASTURE",0,88,0,12,0,"south 1/4 hidden by ridge",21.6,13,1,"8","8F","03/15/2016","08:35",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",9,"Finca de Norma (S Edge)","9P","F","15.17065340","-87.47576019","983.00",20,"M","Part of large mostly continuous fragment, a mixture of roble, pine, and encino, understory is patchy, on a slope with small ravine to south and more dense growth lower, mostly outside 100m","G","FALSO","FALSO","VERDADERO","SF",50,"ROAD",0,100,0,0,0,"",21.6,19,1,"9","9F","02/18/2016","07:55",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",9,"Finca de Norma (S Edge)","9P","F","15.17065340","-87.47576019","983.00",20,"M","Part of large mostly continuous fragment, a mixture of roble, pine, and encino, understory is patchy, on a slope with small ravine to south and more dense growth lower, mostly outside 100m","G","FALSO","FALSO","VERDADERO","SF",50,"ROAD",0,100,0,0,0,"",21.6,19,1,"9","9F","03/15/2016","07:47",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",10,"Finca de Agusto Rojas","10P","C","15.15627801","-87.50635036","1250.00",208,"M","Narrow width coffee plot, moderate slope, brush to east, more coffee on opposite slope, forest nearby <500m","D","FALSO","VERDADERO","VERDADERO","AF",45,"SFOREST",0,18,0,0,82,"",8.6,2,18,"10","10C","02/23/2016","07:40",1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",10,"Finca de Agusto Rojas","10P","C","15.15627801","-87.50635036","1250.00",208,"M","Narrow width coffee plot, moderate slope, brush to east, more coffee on opposite slope, forest nearby <500m","D","FALSO","VERDADERO","VERDADERO","AF",45,"SFOREST",0,18,0,0,82,"",8.6,2,18,"10","10C","3/8/2016","10:25",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",11,"Finca de Francisco","11P","C","15.12465427","-87.51455365","1203.00",340,"M","terrain with variable slope, planted coffee of varied age, humid pine forest >100m up slope, boukaro significant part of canopy at time trees are bare. Large plots of café with large number of mature bucaro (since chopped down). Variable terrain with café at a variety of heights <.5m - >3m pine and possibly oak, several hundred meters higher. point at least 100m from edges. Mostly N aspect down to a stream several hundred meters lower.","I","FALSO","FALSO","VERDADERO","AF",50,"SFOREST",0,7,0,0,93,"becoming increasingly unmaintained w/ time",4.3,7,13,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","02/112016","11:00",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,1,0,0,1,0,0,0,1,0,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","03/18/2016","09:18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","03/30/2016","09:26",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
